question_i,question_j,winner,style
What was Truman Capote's last name before he was adopted by his stepfather?,What star sign is Jamie Lee Curtis?,1,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,2,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Which journalist first told the world about the My Lai massacre?,1,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,What is the only novel to top the best-seller lists for two consecutive years?,1,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Otis Barton was a pioneer in exploring where?,1,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,What claimed the life of singer Kathleen Ferrier?,2,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Kagoshima international airport is in which country?,1,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,Who had an 80s No 1 hit with Hold On To The Nights?,1,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,What was the Paramount Film Company originally called?,1,confident_2
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,1,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",How was the European Recovery Program in the 1940s more commonly known?,2,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",What comic strip character was named after heavyweight boxing champion James J. Jeffries?,2,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?","""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",2,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Who was the man behind The Chipmunks?,2,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Who first hosted Family Feud?,1,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Rita Coolidge sang the title song for which Bond film?,1,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Richard Daley was mayor of which city for 21 years?,2,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",What is Mel Gibson's middle name?,2,confident_2
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",Who recorded the When Harry Met Sally soundtrack?,1,confident_2
In what state was playwright Tennessee Williams born?,How old was Jimi Hendrix when he died?,2,confident_2
In what state was playwright Tennessee Williams born?,Robert Kirkpatrick of California grew the world's biggest what?,1,confident_2
In what state was playwright Tennessee Williams born?,In which decade did stereo records first go on sale?,1,confident_2
In what state was playwright Tennessee Williams born?,Who was the last inmate of Spandau jail in Berlin?,2,confident_2
In what state was playwright Tennessee Williams born?,"""In which movie did Garbo say, """"I want to be alone"""".""",2,confident_2
In what state was playwright Tennessee Williams born?,What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,2,confident_2
In what state was playwright Tennessee Williams born?,Who recorded the When Harry Met Sally soundtrack?,2,confident_2
In what state was playwright Tennessee Williams born?,"In the Bible, who saw the handwriting on the wall?",1,confident_2
In what state was playwright Tennessee Williams born?,Brandon Lee died during the making of which movie?,1,confident_2
In what state was playwright Tennessee Williams born?,Who had an 80s No 1 hit with Hold On To The Nights?,1,confident_2
Who was the only Englishman to become Pope?,What claimed the life of singer Kathleen Ferrier?,2,confident_2
Who was the only Englishman to become Pope?,In which state was Gene Vincent born?,1,confident_2
Who was the only Englishman to become Pope?,Who or what was Gentle Ben in the 60s TV series?,1,confident_2
Who was the only Englishman to become Pope?,What was Eddie Murphy's first movie?,2,confident_2
Who was the only Englishman to become Pope?,How was the European Recovery Program in the 1940s more commonly known?,2,confident_2
Who was the only Englishman to become Pope?,Otis Barton was a pioneer in exploring where?,1,confident_2
Who was the only Englishman to become Pope?,Where in Canada is the Lion's Gate bridge?,1,confident_2
Who was the only Englishman to become Pope?,"In the Bible, who did the sun and moon stand still before?",1,confident_2
Who was the only Englishman to become Pope?,Who directed the classic 30s western Stagecoach?,1,confident_2
Who was the only Englishman to become Pope?,To the nearest million what is the population of Australia?,1,confident_2
"In the Bible, who did the sun and moon stand still before?",Who was the first person after Scott to reach the South Pole overland?,2,confident_2
"In the Bible, who did the sun and moon stand still before?",Who was the man behind The Chipmunks?,-1,confident_2
"In the Bible, who did the sun and moon stand still before?",In which country is the Sky Train Rail bridge?,1,confident_2
"In the Bible, who did the sun and moon stand still before?",What star sign is Jamie Lee Curtis?,2,confident_2
"In the Bible, who did the sun and moon stand still before?",Which Lloyd Webber musical premiered in the US on 10th December 1993?,-1,confident_2
"In the Bible, who did the sun and moon stand still before?",Who was the next British Prime Minister after Arthur Balfour?,2,confident_2
"In the Bible, who did the sun and moon stand still before?",What is Mel Gibson's middle name?,1,confident_2
"In the Bible, who did the sun and moon stand still before?",In what state was playwright Tennessee Williams born?,2,confident_2
"In the Bible, who did the sun and moon stand still before?",To the nearest million what is the population of Australia?,1,confident_2
"In the Bible, who did the sun and moon stand still before?",What was Eddie Murphy's first movie?,2,confident_2
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,confident_2
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,confident_2
