question,ground_truth,llama3 base,llama3 confident_1,llama3 confident_2,llama3 doubtful_1,llama3 doubtful_2,llama3 evidential_1,llama3 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
"Meryl Streep's character, Miranda, in the 2006 film The Devil Wears Prada was based on the editor-in-chief of which fashion magazine?",Vogue's Anna Wintour.,Anna Wintour,Anna Wintour,Anna Wintour,Anna Wintour,Anna Wintour,Anna Wintour,Anna Wintour,yes,yes,yes,yes,yes,yes,yes
"In the TV show Camberwick Green, who lived in Colly's Mill?","Windmill owner, Colly and family lived there.",The Toadsons,Pearce Kettlewell,The Toad family.,The Toad family.,The Toad family.,The Toad family.,The Toad family.,no,no,no,no,no,no,no
Who played Dr. Doug Ross on the TV show E.R.?,George Clooney.,George Clooney,George Clooney,George Clooney,George Clooney,George Clooney,George Clooney,George Clooney,yes,yes,yes,yes,yes,yes,yes
Who played the character Mrs. Merton on TV?,Carolne Aherne.,Dawn French,Dawn French,Joan Rivers,Joan Rivers,Joan Rivers,Dawn French,Dawn French,no,yes,no,no,no,yes,yes
At which Winter Olympic host city would you find the Cresta Run?,"St. Moritz, Switzerland.",St. Moritz,St. Moritz,St. Moritz,St. Moritz,St. Moritz,St. Moritz,St. Moritz,yes,yes,yes,yes,yes,yes,yes
Which Canadian born  actress was the star in the movie Barb Wire?,Pamela Anderson.,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,Pamela Anderson,yes,yes,yes,yes,yes,yes,yes
"Which 2004 ""puppet"" movie, made by the makers of South Park, satirises Americas politics and jingoism?",Team America: World Police.,Team America: World Police,Team America: World Police,Team America: World Police,Team America: World Police,Team America: World Police,Team America: World Police,Team America: World Police,yes,yes,yes,yes,yes,yes,yes
"In the run up to the 1997 election, Tony Blair outlined his parties' three priorities for office, can you name them?","Education, Education, Education.","Education, Healthcare, Economy","Education, Health, Economy","Education, Healthcare, and Crime","Education, Economy, and Environment","Education, Health, Economy","Education, Health, Economy","Education, Economy, and Environment",yes,yes,yes,yes,yes,yes,yes
Which snooker player was simply known as 'The Grinder'?,Cliff Thorburn.,Steve Davis,Stephen Hendry,Steve Davis,Stephen Hendry,Stephen Hendry,Steve Davis,Stuart Pettman,no,no,no,no,no,no,no
Which former West Indian fast bowler was known as 'Whispering Death'?,Michael Holding.,Michael Holding,Michael Holding,Michael Holding,Michael Holding,Michael Holding,Michael Holding,Michael Holding,yes,yes,yes,yes,yes,yes,yes
Which Eastenders character had a dog called Willy?,Ethel Skinner had a dog called Willy.,Den Watts,Den Watts,Den Watts,Den Watts,Den Watts,Den Watts,Den Watts,no,no,no,no,no,no,no
"Which comedy written by Johnny Speight which first aired in 1965, featured a fervent West Ham supporter?","""Till Death Us Do Part"" by Johnny Speight.",Till Death Us Do Part,Till Death Us Do Part,Till Death Us Do Part,Till Death Us Do Part,Till Death Us Do Part,Till Death Us Do Part,Till Death Us Do Part,yes,yes,yes,yes,yes,yes,yes
"What was the name of the comedy written by Ray Galton, Alan Simpson which aired 57 episodes?",Steptoe and Son.,Steptoe and Son,Steptoe and Son,Steptoe and Son,Hancock's Half Hour,Hancock's Half Hour,Hancock's Half Hour,Steptoe and Son,yes,yes,yes,no,no,no,yes
Who lives in the Hundred Acre Wood?,Winnie the Pooh and friends.,Winnie the Pooh and friends,Winnie the Pooh,Winnie the Pooh,Winnie the Pooh,Winnie the Pooh,Winnie-the-Pooh and friends.,Winnie-the-Pooh and friends.,yes,yes,yes,yes,yes,yes,yes
Who had an album called Physcomodo?,"Gorillaz did an album called Phases but not Physcomodo, 
 Gorillaz didn't.",The Residents,The Residents,The Residents,The Residents,The Residents,The Residents,The Residents,no,no,no,no,no,no,no
What story introduced the Cybermen?,"""The Tenth Planet"" (1966) introduced the Cybermen.","""World Enough and Time""","""Doctor Who: The Tenth Planet""",The Tenth Planet,"""Doctor Who: The Tenth Planet""","""Doctor Who: The Tenth Planet""","""Doctor Who: The Tenth Planet""","""Doctor Who: The Tenth Planet""",no,yes,yes,yes,yes,yes,yes
Who played the tenth Doctor?,David Tennant.,David Tennant,David Tennant,David Tennant,David Tennant,David Tennant,David Tennant,David Tennant,yes,yes,yes,yes,yes,yes,yes
Which actress left Eastenders for Hollywood only to flop as The Bionic Woman?,Michelle Ryan.,Lindsay Wagner,Lindsay Wagner,Lindsay Wagner,Lindsay Wagner,Glynis Barber,Lindsay Wagner,Lindsay Wagner,no,no,no,no,no,no,no
What did John Hinckley do to try and catch the attention of Jodie Foster in 1981?,Shot President Ronald Reagan to impress Jodie Foster.,Attempted to assassinate President Ronald Reagan.,Attempted assassination of President Ronald Reagan,Attempted assassination of President Ronald Reagan,Attempted assassination of President Ronald Reagan.,Attempted assassination of President Ronald Reagan.,Attempted to assassinate President Ronald Reagan.,Attempted to assassinate President Ronald Reagan.,yes,yes,yes,yes,yes,yes,yes
General Charles de Gaulle was French President 1959 to 1969. Who succeeded him?,Georges Pompidou.,Georges Pompidou,Georges Pompidou,Georges Pompidou,Georges Pompidou,Georges Pompidou,Georges Pompidou,Georges Pompidou,yes,yes,yes,yes,yes,yes,yes
"When Mr Benn was looking for an adventure, what type of shop did he visit?",A costume shop.,Costume Shop,Costume Shop,Costume Shop,Costume Shop,Costume Shop,Costume Shop,Fancy Dress Shop,yes,yes,yes,yes,yes,yes,yes
What is the name of the company that owned the spaceship Red Dwarf?,The Jupiter Mining Corporation.,Smeghead Industries,Smeghead Industries,Smeghead Industries,Smegheads Inc.,Smeghead Industries,Smeghead Industries,Smeghead Industries,no,no,no,no,no,no,no
"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright?",Felix Leiter.,Felix Leiter,Felix Leiter,Felix Leiter,Felix Leiter,Felix Leiter,Felix Leiter,Felix Leiter,yes,yes,yes,yes,yes,yes,yes
Name the magician who first introduced us to Basil Brush.,David Nixon.,Dave Allen,Dave Allen,Dave Allen,Dave Allen,Dave Allen,Peter Brough,Peter Brough,no,no,no,no,no,no,no
Who was the only Prime Minister of Britain to be assassinated?,Spencer Perceval.,Spencer Perceval,Spencer Perceval,Spencer Perceval,Spencer Perceval,Spencer Perceval,Spencer Perceval,Spencer Perceval,yes,yes,yes,yes,yes,yes,yes
What is the name of the chain of islands in the southwestern Philippines?,Sulu Archipelago.,Sulu Archipelago,Sulu Archipelago,Sulu Archipelago,Sulu Archipelago,Sulu Archipelago,Sulu Archipelago,Sulu Archipelago,yes,yes,yes,yes,yes,yes,yes
The Flying Pickets were a British vocal group who had Christmas no1 hit in 1983. What was the title of the song.,Only You.,Only for Men,Only When I Laugh,Only Young,Only Young,Only Young,The Last Waltz,Only When I Laugh,no,no,no,no,no,no,no
Which British band named themselves after a South African football team?,"Kaiser Chiefs, named after Kaizer Chiefs.",Kaizer Chiefs,Kaizer Chiefs,Kaizer Chiefs,Kaizer Chiefs,Kaizer Chiefs,Kaizer Chiefs,Kaizer Chiefs,yes,yes,yes,yes,yes,yes,yes
Who has been the youngest P.M?,William Pitt the Younger at 24 years.,Rishi Sunak,Rajiv Gandhi,Rajiv Gandhi,Rishi Sunak,Rishi Sunak,Rajiv Gandhi,Rajiv Gandhi,no,no,no,no,no,no,no
"Which American female rap artist, film & television actress release a song called Paper in 1998",Mia X,Missy Elliott,Missy Elliott,Missy Elliott,Missy Elliott,Missy Elliott,Missy Elliott,Missy Elliott,yes,yes,yes,yes,yes,yes,yes
Who won the 2010 Giro D'Italia?,Ivan Basso won the 2010 Giro d'Italia.,Ivan Basso,Ivan Basso,Ivan Basso,Ivan Basso,Ivan Basso,Ivan Basso,Ivan Basso,yes,yes,yes,no,yes,no,yes
"In the Commonwealth games in Delhi, which British athlete won the mens 200m gold medal?",Leon Baptiste.,Christian Malcolm,Christian Malcolm,Christian Malcolm,Christian Malcolm,Christian Malcolm,Christian Malcolm,Christian Malcolm,no,no,no,no,no,no,no
Who was un-caged and crowned Celebrity Big Brother winner in January?,"Scotty T, Geordie Shore star, won.",Ruthie Henshall,Rylan Clark,Rylan Clark-Neal,Rylan Clark,Rylan Clark,Ruthie Henshall,Ruthie Henshall,no,no,no,no,no,no,no
"Which singer picked up three Ivor Novello awards in May, including songwriter of the year for her hit single, The Fear?",Lily Allen.,Lily Allen,Lily Allen,Lily Allen,Lily Allen,La Roux,La Roux,Lily Allen,yes,yes,yes,yes,no,no,yes
"Which Isle of Man resident, who was massive in Albania, died in October?","Norma Johnston, aka Norma Procter, aka Mother Teresa.",Billy Smart Jr.,Stipe Pletikosa,Stiliyan Petrov,Stoffa,Stipe Pletikosa,Stipe Pletikosa,Stipe Pletikosa,no,no,no,no,no,no,no
Which American singer was born Eleanora Fagan?,Billie Holiday,Billie Holiday,Billie Holiday,Billie Holiday,Billie Holiday,Billie Holiday,Billie Holiday,Billie Holiday,yes,yes,yes,yes,yes,yes,yes
Which famous woman in history had a cottage in Shottery in Warwickshire?,"Anne Hathaway, Shakespeare's wife.",Mary Arden,Mary Arden,Mary Arden,Mary Arden,Mary Arden,Anne Hathaway,Mary Arden,no,no,no,no,no,no,no
Who sang the theme song for the TV show 'Rawhide'?,Frankie Laine sang the Rawhide theme song.,Sheb Wooley,Sheb Wooley,Sheb Wooley,Sheb Wooley,Sheb Wooley,Sheb Wooley,Sheb Wooley,no,no,no,no,no,no,no
Which sea lies between Italy and the former Yugoslavia?,The Adriatic Sea.,Adriatic Sea,Adriatic Sea,Adriatic Sea,Adriatic Sea,Adriatic Sea,Adriatic Sea,Adriatic Sea,yes,yes,yes,yes,yes,yes,yes
Who was known as the Great Lover of the Silent Screen?,Rudolph Valentino.,Rudolph Valentino,Rudolph Valentino,Rudolph Valentino,Rudolph Valentino,Rudolph Valentino,Rudolph Valentino,Rudolph Valentino,yes,yes,yes,yes,yes,yes,yes
"Which actor plays Cate Blanchett's father in the 2004 film ""The Missing"", a story set in 19th century New Mexico where the father works with estranged daughter Blanchett to get her kidnapped child back?",Tommy Lee Jones.,Tommy Lee Jones,Tommy Lee Jones,Tommy Lee Jones,Tommy Lee Jones,Tommy Lee Jones,Tommy Lee Jones,Tommy Lee Jones,yes,yes,yes,yes,yes,yes,yes
How is Frances Gumm the actress better known?,Judy Garland.,Judy Garland,Judy Garland,Judy Garland,Judy Garland,Judy Garland,Judy Garland,Judy Garland,yes,yes,yes,yes,yes,yes,yes
"Who won the Best Actress Oscar for the 1988 film, The Accused?",Jodie Foster won the Oscar.,Jodie Foster,Jodie Foster,Jodie Foster,Jodie Foster,Jodie Foster,Jodie Foster,Jodie Foster,yes,yes,yes,yes,yes,yes,yes
"Which London river, now flowing underground, rises in Hampstead, flows through St. Pancras, down Farringdon Street and enters the Thames by Blackfriars Bridge?",The River Fleet.,River Fleet,The Fleet,The Fleet,The River Fleet.,The River Fleet.,The River Fleet.,The River Fleet.,yes,yes,yes,yes,yes,yes,yes
-Day in 1944 was the greatest sea-bourn invasion in history. What was the code name for the operation?,Operation Overlord.,Operation Overlord,Operation Overlord,Operation Overlord,Operation Overlord,Operation Overlord,Operation Overlord,Operation Overlord,yes,yes,yes,yes,yes,yes,yes
"Which dancer has only one notable film cameo, appearing with Sean Connery in the 1979 movie The First Great Train Robbery, breaking into a guarded station office.",Leslie Grade or possibly Leslie Caron,Michael Jackson,Fred Astaire,Michael Jackson,Michael Jackson,Michael Jackson,Fred Astaire,Michael Jackson,no,no,no,no,no,no,no
The Grand Prix circuit of Interlagos is in which Brazilian City?,São Paulo.,São Paulo,São Paulo,Sao Paulo,São Paulo,São Paulo,São Paulo,São Paulo,yes,yes,yes,yes,yes,yes,yes
"In 1969, a man was stabbed to death by a member of the Hell's Angels at a Rolling Stones concert. Where was the concert held?","Altamont Speedway, California.",Altamont Speedway,Altamont Speedway,Altamont Speedway,Altamont Speedway.,Altamont Speedway.,Altamont Speedway.,Altamont Speedway,yes,yes,yes,yes,yes,yes,yes
"The circumference of the Earth at the Equator is approx. A) 30,000km (18,642 miles), B) 40,000km (24,856 miles) or C) 50,000km (31,069 miles)?","B) 40,000km (24,856 miles)","A) 30,000km (18,642 miles)","A) 30,000km (18,642 miles)","A) 30,000km (18,642 miles)","A) 30,000km (18,642 miles)","A) 30,000km (18,642 miles)","A) 30,000km (18,642 miles)","A) 30,000km (18,642 miles)",no,no,no,no,no,no,no
"How long does it take, approximately, for light to travel from the Sun to the Earth?",About 8 minutes and 20 seconds.,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,yes,yes,yes,yes,yes,yes,yes
"The lyric Always sunny in a rich man's world', is from which song?","""Always Sunny in a Rich Man's World"" by ABBA",Foghat - Fool for the City,Foghat - Fool for the City,Foghat - Fool for the City,"""Gold Soundz"" by Pavement",Foghat - Fool for the City,"""Money"" by Pink Floyd",Smells Like Teen Spirit,no,no,no,no,no,no,no
Which 18th century inventor and founding father of the United States coined the phrase 'time is money'?,Benjamin Franklin.,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,yes,yes,yes,yes,yes,yes,yes
Who won the men's singles title at Wimbledon in 1987?,Pat Cash won the men's singles title.,Pat Cash,Pat Cash,Pat Cash,Pat Cash,Pat Cash,Pat Cash,Pat Cash,yes,yes,yes,yes,yes,yes,yes
Who were the American explorers who travelled from Missouri to the Oregon and back between 1804 and 1806?,Meriwether Lewis and William Clark.,Lewis and Clark,Lewis and Clark,Lewis and Clark,Lewis and Clark,Lewis and Clark.,Meriwether Lewis and William Clark.,Lewis and Clark,yes,yes,yes,yes,yes,yes,yes
Who was the Spanish adventurer and conquistador (he was also a failed law student) who overthrew the Aztec empire and claimed Mexico for Spain (1519-21).,Hernán Cortés.,Hernán Cortés,Hernán Cortés,Hernán Cortés,Hernán Cortés,Hernán Cortés,Hernán Cortés,Hernán Cortés,yes,yes,yes,yes,yes,yes,yes
What building in Scotland is said to house the Holy Grail and features prominently at the end of The Da Vinci Code?,Rosslyn Chapel.,Rosslyn Chapel,Rosslyn Chapel,Rosslyn Chapel,Rosslyn Chapel,Rosslyn Chapel,Rosslyn Chapel,Rosslyn Chapel,yes,yes,yes,yes,yes,yes,yes
The Low Countries historically included parts of which 5 modern day countries.,"Netherlands, Belgium, France, Germany, Luxembourg.","Belgium, Netherlands, Luxembourg, France, Germany","Belgium, Netherlands, Luxembourg, Germany, France","Belgium, Netherlands, Luxembourg, Germany, France","Belgium, Netherlands, Luxembourg, Germany, France","Belgium, Netherlands, Luxembourg, Germany, France","Belgium, Netherlands, Luxembourg, Germany, France","Belgium, Netherlands, Luxembourg, Germany, France",yes,yes,yes,yes,yes,yes,yes
In which sitcom did Penelope Wilton play the wife of Richard Briers?,Ever Decreasing Circles,The Good Life,The Good Life,The Good Companions,Ever Decreasing Circles,"""Ever Decreasing Circles""",The Good Life,The Good Life,no,no,no,yes,yes,no,no
Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks plays Bubble.,Jane Horrocks,Jane Horrocks,Jane Horrocks,Jane Horrocks,Jane Horrocks,Jane Horrocks,Jane Horrocks,yes,yes,yes,yes,yes,yes,yes
Who in 1975 became the first black man to win a Wimbledon singles title?,Arthur Ashe won in 1975.,Bjorn Borg,Bjorn Borg,Bjorn Borg,Bjorn Borg,Bjorn Borg,Alfredo Montreuil,Ishmael Ashani Caldera,no,no,no,no,no,no,no
Which South African fast bowler had the nickname White Lightning,Allan Donald.,Shaun Pollock,Shaun Pollock,Shaun Pollock,Dale Steyn,Shaun Pollock,Wayne Hushes,Wayne Hushes,no,no,no,no,no,no,no
"In 1953, Edmund Hillary was half of the famous pair to first do what?",Reach the summit of Mount Everest.,Reach the summit of Mount Everest,Reach the summit of Mount Everest,Reach the summit of Mount Everest,Reach the summit of Mount Everest.,Reach the summit of Mount Everest,Reach the summit of Mount Everest.,Reach the summit of Mount Everest,yes,yes,yes,yes,yes,yes,yes
At 7am on Saturday 19 May 2012 which gold medalist started the torch delay in Lands End?,Ben Ainslie started the torch relay.,Sir Steve Redgrave,Steve Redmond,Steve Redmond,Steve Redmond,Ben Ainslie,Steve Redmond,Steve Redmond,no,no,no,no,yes,no,no
Which Captain wrote the Biggles stories,Captain W.E. Johns.,W.E. Johns,W.E. Johns,W.E. Johns,W.E. Johns,W.E. Johns,W.E. Johns,W.E. Johns,yes,yes,yes,yes,yes,yes,yes
"Who was the 16th president of the U.S.A.,assasinated in 1865",Abraham Lincoln.,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,yes,yes,yes,yes,yes,yes,yes
Who had chart hits which included Annie`s Song and Rocky Mountain High?,John Denver.,John Denver,John Denver,John Denver,John Denver,John Denver,John Denver,John Denver,yes,yes,yes,yes,yes,yes,yes
"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?",Top Cat.,Alvin,The Little Rascals (Our Gang),Al Capone,The Little Rascals (Our Gang),The Little Rascals,Al Capone,The Little Rascals (Our Gang),no,no,no,no,no,no,yes
Which famous resident resides at Highgrove House?,"Charles, Prince of Wales.",Prince Charles,Prince Charles,Prince Charles,Prince Charles,Prince Charles,Prince Charles,Prince Charles,yes,yes,yes,yes,yes,yes,yes
Who did Simple Simon meet on his way to the fair?,A pieman.,An old woman,An Old Man,An Old Man,An Old Woman,An Old Man,An Old Woman,An Old Man,no,no,no,no,no,no,no
Which cartoon strip character first appeared in The Beano in 1951?,Dennis the Menace.,Dennis the Menace,Dennis the Menace,Dennis the Menace,Dennis the Menace,Dennis the Menace,Miner49er,Dennis the Menace,yes,yes,yes,yes,yes,no,yes
