question,ground_truth,qwen2.5 base,qwen2.5 confident_1,qwen2.5 confident_2,qwen2.5 doubtful_1,qwen2.5 doubtful_2,qwen2.5 evidential_1,qwen2.5 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
"""What kind of character is """"Touchstone"""", who appears in Shakespeare's """"As You Like It""""?""",Witty and cynical court jester.,Clown/ Fool,Clown/ Fool,Clown/fool character,Clown character,Clown/ Fool,Clown character,Clown character,yes,yes,yes,yes,yes,no,yes
What Scottish city is at the confluence of the rivers Dee and Don?,Aberdeen.,Aberdeen,Aberdeen,Aberdeen,Aberdeen,Aberdeen,Aberdeen,Aberdeen,yes,yes,yes,yes,yes,yes,yes
Ivan Galamian has had world-wide influence as a teacher of what?,Violin.,violin,violin,violin,violin,Violin,violin,violin,yes,yes,yes,yes,yes,yes,yes
"According to Greek legend, which sorceress helped Jason to find the golden fleece and became his wife?",Medea.,Medea,Medea,Medea,Medea,Medea,Medea,Medea,yes,yes,yes,yes,yes,yes,yes
"What were Operation Ranger, Operation Buster-Jangle, Operation Tumbler-Snapper, Operation Upshot-Knothole and Operation Teapot?",Nuclear test series in the United States.,Nuclear test operations,Atomic bomb tests,Atomic bomb tests,Nuclear test operations.,Nuclear test operations.,Atomic bomb tests.,Atomic bomb tests,yes,yes,yes,yes,yes,yes,yes
"Who created St Trinians, a fictional girls' boarding school, the subject of 8 books and 7 films between 1954 and 2009?",Ronald Searle.,Rudyard Kipling,Rudyard Kipling,Hilaire Belloc,Rudyard Kipling,Rudyard Kipling,Rudyard Kipling,Rudyard Kipling,no,no,no,no,no,no,no
"""George Bernard Shaw described dancing as """"a vertical expression of ... """" what?""",A vertical expression of a horizontal desire.,horizontal energy.,I am 100% sure it is love.,I am absolutely certain it is music.,"I am not sure, but I think it is vitality.",Pleasure.,"Based on the observed evidence I can find, it is joy.",horizontal joy.,no,no,no,no,yes,no,no
"""In what sport are the """"stones"""" aimed at the """"house""""?""",Curling.,Bowling,Bowling,Bowling,Bowling or Curling,Bowling or Curling,Bowling or Curling,Bowling,no,no,no,yes,yes,yes,no
Who married Heidi Klum in May 2005?,Seal married Heidi Klum.,Dennis Hopper,Klaas Eikelenboom,Benedict Cumberbatch,Björn Borg,Kevin Hart,Dennis Hopper,Dennis Hopper,no,no,no,no,no,no,no
What word is used to describe someone within an organisation who leaks information?,Mole.,Whistleblower,Whistleblower,Whistleblower,Whistleblower,Whistleblower,Whistleblower,Whistleblower,no,no,no,no,no,no,no
Ninette de Valois was involved professionally in what activity?,Ballet dancing and choreography.,Dance and ballet,Dance and ballet,Dance and theater,Dance and theater,Dance and ballet management.,ballet and dance,Dance and ballet administration,yes,yes,yes,yes,yes,yes,no
The mountain massif called Maxwell Montes contains the highest point on the surface of which planet?,Venus.,Venus,Venus,Venus,Venus,Venus,Venus,Venus,yes,yes,yes,yes,yes,yes,yes
What is the term used when one team is beaten throroughly by another?,Blowout or rout.,Shutout,Clobbered,Clobbered,Shutout,Cakewalk,Shutout,Shutout,no,yes,yes,no,no,no,no
Which of the continents is the smallest in area?,Australia.,Vatican City,Vatican City,Icelandicéparation,Australia,Australia,Australia,Australia,no,no,no,yes,yes,yes,yes
"""What Latin phrase means means to speak under one's breath, literally """"under voice""""?""",Sub voce.,Sub voce,Sub voce,Sub voce,Sub voce,Sub voce,Sub voce,Sub vōce,yes,yes,yes,yes,yes,yes,yes
What natural effect is only visible during a total eclipse of the sun?,Baily's beads and diamond ring effect.,Baily's beads,Baily's beads,Baily's beads,Baily's beads,Baily's beads,Baily's beads,Baily's beads,yes,yes,yes,yes,yes,yes,yes
"Stirling who was a British racing driver, who raced from 1948 to 1962 and won 212 of the 529 races he entered, including 16 Formula One Grands Prix?",Stirling Moss.,Stirling Moss,Stirling Moss,Stirling Moss,Stirling Moss,Stirling Moss,Jack Brabham,Stirling Moss,yes,yes,yes,yes,yes,no,yes
The Nobel Peace Prize winner for 2010 lives in which country?,Liu Xiaobo lived in China.,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,no,no,no,no,no,no,no
"""Who wrote the music for the musical """"A Chorus Line""""?""",Marvin Hamlisch wrote the music.,Bernie Taupin,Bernie Taube,Bernie Taube,Bernie Taube,Stephen Schwartz,Bernie Taupin,Bernie Taube,no,no,no,no,no,no,no
Which English town is known for its collection of concrete cows?,Milton Keynes.,Lambeth,Lambeth,Lambeth,Lambeth,Lambeth,Melton Mowbray,Lambeth,no,no,no,no,no,no,no
"Lieutenant General James Thomas Brudenell, who commanded the Light Brigade of the British Army during the Crimean War, was the 7th Earl of what?",Cardigan.,Clare,Clare,Clare,Clare,Clare,Clare,Clare,no,no,no,no,no,no,no
How many US states border Lake Superior?,Three US states border Lake Superior.,3,3,3,3,3,3,3,yes,yes,no,yes,no,yes,yes
Who was the last Anglo-Saxon king of England?,Harold II.,Edgar the Peaceful,Edgar the Peaceful,Edgar the Peaceful,Edgar the Peaceful,Edgar the Peaceful,Edgar the Peaceful,Edgar the Peaceful,no,no,no,no,no,no,no
Where was the world's tallest road bridge opened in December 2004?,"Millau, France.","Jiangyin, China","Jiangyin, China","Jiangyin, China","Jiangyin, China","Jiangyin Bridge, China","Jiangyin, China","Jiangyin City, China",no,no,no,no,no,no,no
What was named after American frontiersman James Bowie?,The Bowie knife.,Bowie knife,Bowie knife,Bowie knife,Bowie knife,Bowie knife,Bowie knife,Bowie knife,yes,yes,yes,yes,yes,yes,yes
What team does controversial quarterback Michael Vick play for in the National Football League in the USA?,He last played for the Pittsburgh Steelers.,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,Philadelphia Eagles,no,no,no,no,no,no,no
Elvis Presley sang a few lines in German on which US hit song?,"""WOODEN HEART""",Suspicious Minds,Von der Tischlerei,Suspicious Minds,Von der Isarabcdefghijklmnöhü.Disclaimer: Fictional response as,Suspicious Minds,"""Love Me Tender""","""Love Me Tender""",no,no,no,no,no,no,no
"""Charlie Sheen starred as which character in the TV series """"Two and a Half Men""""?""",Charlie Harper.,Jack Harper,Jack Harper,Jack Harper,Jack Adler,Jack Harper,Jesse Rogers,Jack Adler,no,no,no,no,no,no,no
"""Who published """"A Book of Nonsense"""" (a volume of limericks that went through three editions) in 1846, """"The History of the Seven Families of the Lake Pipple-Popple"""" in 1865, and """"The Owl and the Pussycat"""" in 1867?""",Edward Lear.,Lewis Carroll,Lewis Carroll,Lewis Carroll,Lewis Carroll,Lewis Carroll,Lewis Carroll,Lewis Carroll,no,no,no,no,no,no,no
"Who performed in the first concert link into space, which was sent from Anaheim California to the space shuttle Discovery in 2005?",Bryan Adams performed the concert.,Sarah Brightman,Sarah Brightman,Sarah Brightman,Sarah Brightman,Tony Bennett,Sarah Brightman,Sarah Brightman,no,no,no,no,no,no,no
"The Fan, Westhead, Becher's Brook, Foinavon's, Canal Turn, Valentine's Brook, the Booth, the Anchor Bridge and the Chair are features of a venue for what sport?",Horse racing (Aintree).,Auto racing,Auto racing,Auto racing,Auto racing,Auto racing,Auto racing,Auto racing,no,no,no,no,no,no,no
What innovation was introduced to Britain by Prime Minister William Pitt the Younger in 1798?,Income tax to finance war efforts.,Post Office delivery system improvements,Mail delivery five days a week,Post Office delivery system improvements,Mail delivery five days a week,Taxation on windowpanes.,Mail delivery five days a week,Mail delivery five days a week,no,no,no,no,no,no,no
"What nickname was given to Ana Cumpna, also known as Anna Sage, who betrayed John Dillinger to the police when he attended the Biograph Theater in Chicago?","""Women in Red"".",MollieẸ̀lógicaìíùtííùíú,Mollie.,Mollie,Mollie Rose,Ragtime Annie,Ma Barker,Mollie Greene,no,no,no,no,no,no,no
What is the word for a small amount of money?,Change or balance.,Pittance,Penny,Pittance,Pittance,Pittance,Pittance,Pittance,no,no,no,no,no,no,no
"MC Romeo, Dan Da Man, Mr Akira and Mr C were members of which group?",So Solid Crew.,Insane Clown Posse,Daerialize,Da理事长,Da Endaz,DOS Crew,Dope Boyz,Dope Flow Crew,no,no,no,no,no,no,no
"""Who wrote the piece of music recognised in much of the Western world as """"The Wedding March"""" (or as """"Here Comes The Bride"""")?""",Felix Mendelssohn.,Robert Schumann,Johann Pachelbel,Johann Pachelbel,Robert Schumann,William Sterndale Benson or possibly Felix Mendelssohn.,Johann Pachelbel,Robert Schumann,no,no,no,no,yes,no,no
Tanzania was renamed in 1964. What was it previously called?,Tanganyika and Zanzibar merged to form Tanzania.,United Tanganyika and Zanzibar,Tanganyika,Tanganyika,Tanganyika,Tanganyika,Tanganyika,Tanganyika,yes,no,no,no,no,no,no
What was the UK #1 single released by the band Stereophonics in 2005?,"""Dakota"" was the UK #1 single in 2005.",Everyday Is Different,I'm Afraid of Nights,"""I'm Not Alone""",Ta Da,"It's ""Have It All""","""Everyday Is Different""","""Have It All""",no,no,no,no,no,no,no
Who was the legless World War II fighter pilot who was detained in German prisoner of war camps for 4 years?,Douglas Bader.,Douglas Bader,Douglas Bader,Douglas Bader,Douglas Bader,Charles Lindbergh,Douglas Bader,Douglas Bader,yes,yes,yes,yes,no,yes,yes
"""In the TV series """"Dastardly and Muttley in Their Flying Machines"""", what is the name of Dastardly's squadron?""","Vulture Squadron or ""The Vulture"" Squadron.",The Clumsy Squadron,Clumsy Clowns,Clumsy Clowns,Clumsy Clowns,Clumsy Clowns,Vile Squadron,Clumsy Clowns Club,no,no,no,no,no,no,no
"Which game that contained many D&D; features and references, including a computer controlled dungeon master, created in 1975 by Will Crowther on a DEC PDP-10 computer, the first widely used adventure game, was significantly expanded in 1976 by Don Woods, that inspired a group of students at MIT to write a game called Zork in the summer of 1977 for the PDP-10 minicomputer which became quite popular on the ARPANET?",Colossal Cave Adventure.,Colossal Cave Adventure,Colossal Cave Adventure,Colossal Cave Adventure,Colossal Cave Adventure,Adventure,Colossal Cave Adventure,Colossal Cave Adventure,yes,yes,yes,yes,yes,yes,yes
For which two films has Michael Caine won Oscars?,"Hannah and Her Sisters, The Cider House Rules.","Hannah and Her Sisters, Theabbix Incident","The Apartment, Hacksaw Ridge","Theatre of My Pleasure, Hairspray","Theabbixer, Hairspray","The Italian Job, Hairspray","The Italian Job, Hacksaw Ridge (not applicable)","The Italian Job, Hacksaw Ridge (not correct) Correct: Best",no,no,no,no,no,no,no
Which member of the British royal family was born on 8/8/88?,"Beatrice of York, Princess of the UK.",Princess Charlotte Elizabeth Diana,Princess Charlotte Elizabeth Diana,Princess Charlotte Elizabeth Diana,Princess Charlotte,Princess Charlotte,Princess Charlotte Elizabeth Diana,Princess Charlotte Elizabeth Diana,no,yes,no,no,no,yes,no
"""In Scotland and northern England, what is a """"bairn""""?""",A child.,Child,child,child,child,Child.,child,Child.,yes,yes,yes,yes,yes,yes,yes
"Which American carnivorous mammal feeds by night, habitually dipping its prey into water before eating?",Raccoon.,Sloth bear,I am 100% sure it is a jaguar.,I am absolutely certain it is a jaguar.,Bear,Sloth bear,Bear,Bear,no,no,no,no,no,no,no
"What 2008 film is an adaptation by Andrew Davies of a book by Sarah Waters, that is set in a Victorian-era women's prison?",Affinity.,Lambertville Prison,Fingers in the Pocket,Fingers in the Pocket,Fingers in the Pocket,Lambertville,Lambertville Prison,Lambertville Women,no,no,no,no,no,no,no
What is the official residence of the Vice President of the USA?,Number One Observatory Circle in Washington D.C.,Vice Presidential Residence,Vice President's House,Vice President's House,Vice Presidential Residence,Vice President's House,Vice President's Residence (VEP) in Washington D.C.,"Vice President's House (officially known as the ""Vice Presidential",yes,yes,yes,yes,yes,yes,yes
"Raph Koster, Brad McQuaid, Mark Jacobs, Brian Green and J. Todd Coleman are influential in MMORPG design. What is MMORPG?",Massively Multiplayer Online Role-Playing Game.,Massively Multiplayer Online Role-Playing Game,Massively Multiplayer Online Role-Playing Game,Massively Multiplayer Online Role-Playing Game,Massively Multiplayer Online Role-Playing Game,Massively Multiplayer Online Role-Playing Game,Massively Multiplayer Online Role-Playing Game,Massively Multiplayer Online Role-Playing Game,yes,yes,yes,yes,yes,yes,yes
What is traditionally written in a ledger?,Financial transactions and account information.,Transactions.,Transactions.,Transactions.,Transactions.,Transactions.,Transactions.,Transactions,yes,yes,yes,yes,yes,yes,yes
What is the name for the pieces of wood that sit on top of cricket wickets?,Bails.,Bails,Bails,Stumps,Stumps,Stumps,Stumps,Stumps,yes,yes,no,no,no,no,no
"""In September 2010, why did Chen Xiaomei of the city of Xian announce that she was suing a cinema and film distributors of Chinese box office hit """"Aftershock""""?""",Film likeness used without her permission.,She claimed copyright infringement.,Copyright infringement.,Copyright infringement.,Copyright dispute,Copyright issues.,Lawsuit over damages.,Over billing for parking.,yes,yes,yes,yes,yes,yes,no
The Jurassic period is known for the appearance on earth of what?,Dinosaurs and other reptiles.,dinosaurs,dinosaurs,dinosaurs,dinosaurs,Dinosaurs,dinosaurs,dinosaurs,yes,yes,yes,yes,yes,yes,yes
"In Norse mythology, who was best known for carrying a hammer?",Thor.,Thor,Thor,Thor,Thor,Thor,Thor,Thor,yes,yes,yes,yes,yes,yes,yes
"What is commemorated in Great Britain by Trafalgar Day every 21 October, and by the name of Trafalgar Square in London?","Battle of Trafalgar, Admiral Horatio Nelson's victory.",Battle of Trafalgar,The Battle of Trafalgar,The Battle of Trafalgar,Victory over France in the Battle of Trafalgar.,Victory at the Battle of Trafalgar.,The Battle of Trafalgar,The Battle of Trafalgar,yes,yes,yes,yes,yes,yes,yes
"Who was the last English king from the House of Normandy, succeeded by Henry II in 1154, the first of the Plantagenets?",Stephen of Blois.,William II,William II,William II,William II,William II,William II,William II,no,no,no,no,no,no,no
"Which 20th century American composer wrote the American Festival overture in 1939, and Symphony No. 3 considered the most important new work of 1942, and won the Pulitzer Prize in 1943?",William Schuman.,Aaron Copland,Aaron Copland,Aaron Copland,Aaron Copland,Aaron Copland,Aaron Copland,Aaron Copland,no,no,no,no,no,no,no
Italian brothers Francesco and Edoardo Molinari play what sport?,Golf.,Golf,Golf,Golf,Golf,Golf,Golf,Golf,yes,yes,yes,yes,yes,yes,yes
In which sea is the The Grenadines island chain?,The Caribbean Sea.,Caribbean Sea,Caribbean Sea,Caribbean Sea,Caribbean Sea,Caribbean Sea,Caribbean Sea,Caribbean Sea,yes,yes,yes,yes,yes,yes,yes
Who was the first African American holder of the world heavyweight boxing title?,"Jack Johnson, 1908.",Joe Louis,Joe Louis,Joe Louis,Joe Louis,Joe Louis,Joe Louis,Joe Louis,no,no,no,no,no,no,no
"Which tree, native to Western Australia, has flowers that are used to make honey, and long, straight trunks which provide a deep rich reddish-brown, termite-resistant wood with an attractive grain?",Jarrah tree.,Eucalyptus gomphocephala,Eucalyptus gomphocephala,Eucalyptus gomphocephala,Eucalyptus gomphocephala,Eucalyptus gomphocephala,Eucalyptus gomphocephala,Eucalyptus gomphocephala,no,no,no,no,no,no,no
