question,ground_truth,answer,ground_truth_present
Films. Which Dominic starred as Merry (Meriadoc) in ‘The Lord of the Rings’?,MONAGHAN,Dominic Monaghan.,Yes
Who is the only person to win both a Nobel Prize for Literature and an Oscar?,G.B. SHAW,Shaw won both a Nobel Prize and an Oscar.,No
"In Egyptian mythology, what was personified by the god Geb?",The EARTH,The earth.,Yes
Who wrote ‘The Forsyte Saga’?,John GALSWORTHY,John Galsworthy.,Yes
"Who got to no. 12 in the charts with ‘Days’, in 1968?",The KINKS,The Kinks.,Yes
What is surrounded by amniotic fluid?,Foetus in the Womb,A fetus in the womb.,No
In 1998 at the age of 77 who became the oldest person to fly in space?,John Glenn,John Glenn.,Yes
Who wrote the poem The Dong With The Luminous Nose?,Edward Lear,Edward Lear wrote it.,Yes
Which once popular social network announced it was to close down?,Friends Reunited,Google Plus and Yik Yak closed down.,No
Which town is located closest to Junction 1 of the M6?,Rugby,"Birmingham, England is the closest town.",No
Which motor scooter had a name meaning ‘wasp’?,Vespa,Vespa.,Yes
In Christian art what does a painting termed a ‘Pieta’ depict?,Mary holding the dead body of,Mary holding Jesus after crucifixion.,No
Who played Rachel Green in Friends?,Jennifer Aniston,Jennifer Aniston.,Yes
"Cain dwelt in the Land of Nod, which was where on the Biblical compass?",East Of Eden,"East of Eden, according to Genesis.",Yes
"Twins consisting of one boy and one girl, such as Mark and Carol Thatcher, are called what?",Pigeon Pair,Mixed twins or boy/girl twins.,No
What type of trans-national domestic service was first regulated across Europe in 1971?,Au Pair,Au Pair services.,Yes
"Which actor died in September 1955 after a collision in Cholame, California?",James Dean,James Dean.,Yes
To whom did human-rights lawyer Amal Alamuddin become engaged in April 2014?,George Clooney,George Clooney.,Yes
"Preceded by “He loved”, what are the chilling final two words of 1984?",Big Brother,Big Brother.,Yes
What are the last four words of Gone With the Wind?,Tomorrow is another day,"""After all, tomorrow is another day.""",Yes
By what name was pioneering architect Charles-Édouard Jeanneret-Gris better known?,Le Corbusier,Le Corbusier.,Yes
Which Swiss tennis player won the men’s singles title at the 2014 Australian Open?,Stanislas Wawrinka,Stan Wawrinka.,No
The number ten raised to the power of one hundred is known by what name?,Googol,Googol.,Yes
Which modern-day country staged the sailing events for the 1980 Moscow Olympics?,Estonia,"Finland (Tallinn, Estonia was initially chosen).",Yes
Which Jersey-born actor played Superman in Man of Steel?,Henry Cavill,"Henry Cavill, from Jersey Island.",Yes
The Wasp Factory was the debut novel of which author who died in 2013?,Iain Banks,Iain Banks.,Yes
The Most Noble Order of the Garter was established during the reign of which King?,Edward III,King Edward III.,Yes
"""Which Pixar character's first attempt to fly is comically described as """"falling with style""""?""",Buzz Lightyear,"Dumbo is not Pixar, it's Dory or Dug, no: Buzz.",No
"Bruno, nephew of which late Formula 1 legend signed to drive for the Williams team?",Ayrton Senna,"Ayrton Senna's nephew, Bruno.",Yes
Who was the first NASA astronaut to conduct a spacewalk?,Ed White,"Ed White, on June 3, 1965.",Yes
Which city was formerly known as “Edo”?,Tokyo,Tokyo.,Yes
In which country is the ski resort of Lecht?,Scotland,Scotland.,Yes
Whose personal aircraft is known as ‚Shepherd One‛?,The Pope,The Pope's aircraft is known as Shepherd One.,Yes
Which duo created the “Dagenham dialogues”?,Peter Cook and Dudley Moore,Heckford and Morrison created them.,No
The Walker Art Gallery is in which UK city?,Liverpool,Liverpool.,Yes
A bet of Manqué at roulette covers which group of numbers?,1–18,"Manqué: 1-18, lower numbers.",No
Sanskrit is an ancient language of which modern day country?,India,India.,Yes
We call it a ‘full stop’ what do Americans call it?,Period,Period.,Yes
In which Commonwealth country are the Southern Alps?,New Zealand,New Zealand.,Yes
"Spider, Idiot’s Delight, Canfield, Pyramid and Clock are all forms of what card game?",Patience,Solitaire.,No
"Which female politician and aristocrat said ‘I married beneath me, all women do’?",Nancy Astor,Nancy Astor.,Yes
Which philosopher and writer said ‘God is always on the side of heaviest battalions’?,Voltaire,Voltaire said this quote.,Yes
Who co-starred with George Clooney in the 2013 movie Gravity?,Sandra Bullock,Sandra Bullock.,Yes
Swinley Bottom forms part of the track on which famous racecourse?,Ascot,Ascot.,Yes
"Whose official country residence is Dorneywood, Buckinghamshire?",Chancellor of the Exchequer,The Chancellor of the Exchequer.,Yes
What term is used for a leap striking both heels together?,Entrechat,Click heels.,No
Who were the notorious Friars of St Francis of Wycombe?,The Hellfire Club,No historical record of such Friars exists.,No
Which heroine from a 1961 film had a cat called Cat?,Holly Golightly,"Breakfast at Tiffany's, Holly Golightly's cat.",Yes
Who was Wolfe’s opposing French general who died with him on the Plains of Abraham?,Montcalm,Montcalm.,Yes
Which sportsmen wear the ‘baggy green’?,Australian Cricketers,Australian cricketers.,Yes
Jazz musician Jelly Roll Morton is associated with which instrument?,PIANO,Piano.,Yes
In the novel 'Treasure Island' name the pirate shot dead by Jim Hawkins in the rigging of the Hispaniola,ISRAEL HANDS,Israel Hands,Yes
Ailurophobia is the abnormal fear of what?,CATS,Cats.,Yes
Name the governor of Brixton prison at the time of Tuite's escape,MICHAEL SELBY,Governor was not publicly disclosed at that time.,No
Name the manufacturer of the British World War II bomber the Lancaster,AVRO,Avro.,Yes
Which rider won the ladies European Three Day event Championship at Burghley in 1971?,PRINCESS ANNE,Princess Anne won the championship in 1971.,Yes
The pose that Evans-Loude used came from which of Marilyn Monroe's films?,THE SEVEN YEAR ITCH,Gentlemen Prefer Blondes (1953) film.,No
Citizen Band radio operators have nicknames for various towns and cities. In C.B. jargon which Clwyd town is called 'Sparkie Town'?,FLINT,Wrexham.,No
What is the equivalent Royal Navy rank to an Air Marshall in the R.A.F.?,VICE ADMIRAL,Admiral.,No
In the novel 'Treasure Island' what is the name of the small island next to Treasure Island?,SKELETON ISLAND,Skeleton Island.,Yes
Which city in Saxony was known as Karl-Marx-Stadt from 1953 until 1990?,CHEMNITZ,Chemnitz.,Yes
"Ushuaia, which is now generally accepted as the southernmost city in the world, is in which country?",ARGENTINA,Argentina.,Yes
In which decade was the BBC's current affairs programme Panorama first broadcast?,1950s,"1950s, specifically 1953.",Yes
Director of Home Alone and the first two Harry Potter films and a 15th/16th century Genoese explorer.,CHRISTOPHER COLUMBUS,Chris Columbus and Christopher Columbus.,Yes
Over how many complete furlongs is the Chester Cup now run?,EIGHTEEN,2 miles 2 furlongs plus 127 yards.,No
Rugby League - which country are the current holders of the European Cup?,WALES,France are the current European Cup holders.,No
"In Greek mythology, which race of giants had a single eye in the middle of their foreheads?",CYCLOPS,Cyclops.,Yes
"""Which Coronation Street character, who """"died"""" in 2006, apparently had 25 girlfriends at various times and four wives?""",MIKE BALDWIN,Mike Baldwin.,Yes
"Which journalist and author won the fifth series of I'm A Celebrity, Get Me Out Of Here in 2005, beating Cannon and Ball, Jimmy Osmond and Sheree Murphy amongst others?",CAROL THATCHER,"Brendan Cole, no, it was actually Jennie Bond.",No
"Who directed the Noughties films One Day in September, The Last King of Scotland and Touching the Void?",KEVIN MACDONALD,Kevin Macdonald.,Yes
"What was the surname of the French explorer who discovered the area where Montreal is now situated, on this day in 1953?",(Jacques) CARTIER,"Champlain, but that was in 1608, not 1953.",No
"What was the christian name of the daughter of William Dorrit, known as Little Dorrit in the 1857 novel of the same name by Charles Dickens?",AMY,Amy Dorrit.,Yes
Near which village in North Wales were the rowing events held at the 1958 British Empire and Commonwealth Games?,LLANBERIS,"Lake Padarn, near Llanberis village.",Yes
"""The naem of which Japanese car company can be translated as """"three diamonds"""", which is reflected in its fanous logo?""",MITSUBISHI,Mitsubishi.,Yes
"""For what television series was the theme tune """"I'll be there for you"""" ?""",FRIENDS,Friends.,Yes
"With what biblical location would you associate the characters Shem, Ham and Japheth?",NOAH'S ARK,The Ark and the land of Ararat.,No
"Which 1st World War battle of 1916 saw 60,000 British casualties on the first day? The battle lasted from July to November, resulting in a British advance of 12 kilometres.",BATTLE OF THE SOMME,Battle of the Somme.,Yes
"In the electromagnetic spectrum, which type of radiation has the longest wavelength? Its main uses are in communication.",RADIO WAVES,Radio waves.,Yes
"""Who wrote the opera """"Dido and Aeneas""""?""",PURCELL,Henry Purcell.,Yes
What was the name of Lady Chatterley's lover in Lawrence's novel?,OLIVER MELLORS,"Oliver Mellors, the gamekeeper.",Yes
"""The cruise liner """"Costa Concordia"""" sank in the Tyrhenian sea in January 2012 against the rocks of the coast of what island?""",GIGLIO,Giglio.,Yes
What is the largest island in the Mediterrainean Sea?,SICILY,Sicily.,Yes
Mathematical Formulae - What is the mathematical formula for the area of a circle?,A = pi r2,A = πr² (pi r squared).,No
To which family of birds does the Jay belong,CROW,Corvidae family.,No
Where exactly is the tallest habitable building located in the UK? It is 50 stories high with a height of 235 metres (771 feet) and was completed in 1991?,CANARY WHARF,"One Canada Square, Canary Wharf, London.",Yes
"""Which actor, who died in 2011, became famous when portraying a TV character who became a household name in the 1970's? The actor won 4 emmys for his TV role and was nominated for film oscars for his parts in """"Pocketful of Miracles"""" and """"Murder Inc."""".""",PETER FALK,Peter Falk.,Yes
"""""""The Great Gate of Kiev"""" and """"Catacombs"""" are two sections of which musical work by Mussorgsky?""",PICTURES AT AN EXHIBITION,Pictures at an Exhibition.,Yes
"""The Album """"No Angel"""" was the number 1 selling album in the UK in 2001, and the singer who recorded the album won the Brit. Award for best album. Who was the singer?""",DIDO,Dido.,Yes
"""Pop music - the group called """"The Revolution"""" was the backing roup for which pop singer?""",PRINCE,Prince.,Yes
"""Which American President is credited with the quote """"If you can't stand the heat get out of the kitchen""""?""",HARRY TRUMAN,Harry Truman.,Yes
"Which is the most northerly of the islands of Japan? Its capital, Sapporo, has hosted the Winter Olympics.",HOKKAIDO,Hokkaido.,Yes
"What are the first four words of the Bible, as recorded in Genesis?",IN THE BEGINNING GOD,In the beginning God.,Yes
What is the traditional name for a 40th wedding anniversary?,RUBY,Ruby anniversary.,Yes
What nationality was the pointillist artist MONDRIAN?,DUTCH,"Dutch, but not pointillist, rather abstract.",Yes
"To what RAF base, near Wooton Bassett village, were the bodies of servicemen killed in Afghanistan formerly transported?",LYNEHAM,RAF Lyneham.,Yes
"""The opera """"Duke Bluebeard's Castle"""" and the ballet """"The Wooden Prince"""" are the works of which composer?""",BARTOK,Bela Bartok.,Yes
"Which country is bordered by Latvia to the north, Ukraine to the south, and Poland to the west?",BELARUS,Belarus.,Yes
What items would be collected by a horologist?,CLOCKS,Watches and clocks of historical significance.,Yes
