question,ground_truth
"Which constellation has, uniquely, in Rigel and Betelgeuse, two of the ten brightest stars?",Orion.
"Had war not intervened, which city would have hosted the 1916 Olympics?","Berlin, Germany."
Which now obsolete unit originated as the distance a person could walk in an hour?,League.
"Also called The Roodee, which, officially, is Britain’s oldest and shortest racecourse?",Chester Racecourse.
“Scandicrime” drama The Bridge is mainly set in Copenhagen and in which Swedish city?,Malmö.
"Which group of large insects includes hawkers and darters, named for their flying styles?",Dragonflies.
Which college’s chapel doubles as Oxford’s cathedral?,Christ Church.
Which “Thom” is Radiohead’s lead singer and principal songwriter?,Thom Yorke.
Which former British PM was christened “Grocer” by Private Eye?,Margaret Thatcher.
Which European country’s national rail network is known as RENFE?,Spain's national rail network is RENFE.
"If dogs are canine and cats feline, what adjective is used for geese?",Anserine.
‘The Darling Buds of May’ is set in which English county?,Kent.
"A swanee whistle was used to provide the voices of whom, in an animated tv series?",The Chipmunks and the Muppets characters initially.
"Victoria Coren, as she then was, married whom in November 2012?",David Mitchell
Which England cricketer was born of Anglo-Welsh parents on Christmas Day 1984?,Jonathan Trott.
What is the name of the one-eyed mutant and important character in ‘Futurama’?,Leela.
"When David killed Goliath, how many of his five stones did he use?",He used only one stone.
What bird did Good Queen Bess decree should be eaten at Christmas?,The swan.
In which of Shakespeare’s plays does the fool Feste appear?,Twelfth Night.
Who was Captain Pugwash’s bitter enemy?,Captain Cutlass.
What is widely accepted to be the earliest known unit of length?,The barleycorn or cubit.
Who plays Dr Nikki Alexander in the BBC’s crime drama Silent Witness?,Emilia Fox plays Dr Nikki Alexander.
What construction of nature inspired a 1960s women’s hairdo?,"The beehive hairstyle, inspired by a beehive."
What kind of song is a Brindisi?,"A drinking song, usually Italian opera."
What is a ‘mullet’ on a coat of arms?,Five-pointed star symbol on coat of arms.
If a creature or figure is described as ‘trippant’ what is it doing?,Prancing or dancing with light steps.
Which Frenchman was the founder of the modern games?,Pierre de Coubertin.
Who was the Beano’s Redskin Chum?,"Pongo, also called Redskin."
What is worn around the neck in a ‘gurning’ contest?,A horse collar.
A transport project on Mount Vesuvius inspired which operatic song?,"""O Sole Mio"" inspired by funicular project."
Which acid has the alternative name ‘spirits of salt’?,Hydrochloric acid.
"The husband of Lara Lewington, In which field is Martin Lewis a TV expert?",Personal finance.
What kind of clouds produce a ’Mackeral Sky’?,Cirro-cumulus clouds produce a 'Mackerel Sky'.
Who played the sadistic sheriff in the Clint Eastwood directed film Unforgiven?,Gene Hackman played the sadistic sheriff.
Which EastEnders character did a full-programme monologue in 2008?,Charlie Brooks as Janine Butcher.
The Philtrum is located precisely where on the human body?,Between nose and upper lip.
Who was the faithless wife of King Menelaus of Sparta?,Helen of Troy.
Pike Bishop led which gang of film desperados?,The Wild Bunch.
What is the significance of 16th June 1904?,Bloomsday in James Joyce's Ulysses novel.
Who wrote the collection of Gothic horror stories entitled In A Glass Darkly in 1872?,Sheridan Le Fanu.
What was placed in Earth’s orbit by Discovery in 1990?,Hubble Space Telescope.
Which sought-after item was situated in the kingdom of Colchis?,The Golden Fleece.
Which headgear actually only holds about three litres?,A helmet.
What are the grades of proficiency in judo called?,Kyu and Dan ranks in judo.
The Siege Perilous was a vacant seat at what?,King Arthur's Round Table.
Who was shot for spying by the French in 1917?,"Mata Hari, a Dutch exotic dancer."
Robert Hubert was hanged for confessing to what?,The Great Fire of London.
What is measured by a Bourdon Gauge?,Pressure.
Who lured sailors on the Rhine to their deaths with her singing?,"Lorelei, a siren from Germanic mythology."
In Shakespeare’s play what is the name of Hamlet’s mother?,Gertrude.
Where are the police called heddlu?,Wales.
Who gets Brer Rabbit in a terrible tangle in the stories by Joel Chandler Harris?,Br'er Fox.
What shape is the pasta known as ‘conchiglie’?,Shell-shaped.
Which American called the Daily Mail ‘the worst kind of tabloid’?,"Angelina Jolie's father, Jon Voight."
What does the Islamic term Hadj signify?,Pilgrimage to Mecca.
What first was opened by Margaret Sanger in Brooklyn in 1916?,The first birth control clinic.
Real Love in 1996 was whose last top 10 hit in the UK?,Tom Jones last top 10 hit.
Which prophet secretly anointed David as King of Israel?,Samuel anointed David as King of Israel.
Which counter-intelligence agency had a name meaning ‘death to spies’ in English?,"SMERSH, a Soviet agency."
Which English town/city did the Romans call Dubris?,Dover.
Which magazine is produced and sold for the benefit of homeless people?,The Big Issue.
Which birds collect in a convocation?,Doves and crows collect in a convocation.
Which country was founded by Muhammed Ali Jinnah?,Pakistan.
Which vitamin assists in blood clotting?,Vitamin K.
"In the theatre and music industry, what are ‘cans’?","Headphones, also known as monitor cans."
What might a Geordie call a ‘tab’?,A fag.
Clifford’s Tower is all that remains of which city’s castle?,York.
Which knight is with Arthur at the end and throws Excalibur into the lake?,"Bedivere, one of King Arthur's knights."
Who did Princess Anne marry in 1992?,Sir Timothy Laurence.
Nino Farina was the first world champion of what?,Formula One racing.
The word sacerdotal means relating to what?,Priests or priesthood.
Who has the unusual middle name of de Pfeffel?,Boris Johnson.
Which London underground line provides a regular service to all Heathrow terminals?,Piccadilly line.
Which famous Englishman had a cat called Hodge which he fed on oysters?,Dr Samuel Johnson.
Which Asian country has the Tugrik as its currency?,Mongolia.
DEFINITIONS. What nouns are being defined here?,"None, definitions are being listed."
"What is the symbol for the chemical element protactinium, atomic number 91?",Pa
"What Russian word means ‘restructuring’, particularly in an economic context?",Perestroika.
What is the name of the dog in the Punch and Judy shows?,Toby the Dog.
"The Greek goddess Aphrodite loved which beautiful youth, the son of Myrrha?",Adonis.
Which English town is home to the Stephen Joseph Theatre?,Scarborough.
Under what name did Bernard Schwartz (1925 to 2010) find fame as a film star?,Tony Curtis.
'Nobody puts Baby in a corner.' is a line from which 1987 film?,Dirty Dancing.
"Which legendary sunken land lies off the Isles of Scilly, to the south-west of Cornwall?",Lyonesse.
Which river meets the sea at Fleetwood on Lancashire's Fylde coast?,The River Wyre.
In golf what is the old-fashioned name for a No 3 wood?,Baffy.
Which county in England has a flag consisting of a white cross on a black background?,Cornwall.
"In 1933, which actress starred in the original 'King Kong' movie?",Fay Wray starred in the movie.
Franz Liszt ended up the father-in-law to which other very famous composer?,Richard Wagner.
The collective noun for which British mammal is a 'cete'? [say “Seat”],Badgers
What is the pen name of the author who created the character Fu Manchu?,Sax Rohmer.
Mrs Darrell Waters books were translated into 120 languages. What was her pen name?,Enid Blyton
Which 'Regal' male singer provided the half-time entertainment for the 2007 Superbowl?,Prince performed at Super Bowl XLI.
What was the name of Ian McEwan's Booker Prize winning novel of 1998?,Amsterdam.
"Conventionally treated as comprising a single order, which order of mammals lay eggs?",Monotremes.
Oil seed rape belongs to which plant family?,Brassicaceae family.
"In 1985, which filly was the last racehorse to win a variant of the English Triple Crown?",Oh So Sharp.
The Art Nouveau designer Rene Lalique most famously worked in which material?,Glass.
"What is the name of the drag queen persona of Thomas Neuwirth, who won in 2014?",Conchita Wurst.
"In 1968, which group recorded the L.P. ‘The Village Green Preservation Society’?",The Kinks.
"Angelica, Chuckie and Tommy feature in which cartoon tv series?",Rugrats.
A giant saguaro is a type of what?,Cactus.
Ashkenazic and sephardic cuisines are associated with which ethnic group?,Jewish people.
"In American football and other sports, who or what is a M.V.P.?",Most Valuable Player.
"Ted Nevin, who died in 1992, was a leading authority in what sphere?",Furniture historian.
Kia Motors Corporation is nearly one-third owned by which other Asian company?,Hyundai Motors.
"Sidney Poitier, Eartha Kitt, Val Doonican and Ferenc Puskas were all born in what year?",1927
What was promoted as “the cream of Manchester” in a series of 90s ads?,Boddingtons beer.
"Famous for its glass manufacturing, what is the real name of Malta’s ‘Silent City’?",Mdina
"On August 15th 1914, the SS Ancon became the first ship to officially do what?",Pass through the Panama Canal.
Liverpool played against whom in the first ever ‘Match of the Day’ in 1964?,Liverpool played against Arsenal.
"In 1934, local miners in Ashington, Northumberland, formed a group to study what?",Art appreciation and art history.
